building_index,feature_id,name,address,function,height,year_of_construction,opening_embodied_emissions_kgco2e,envelope_embodied_emissions_kgco2e,component_embodied_emissions_kgco2e,opening_end_of_life_emissions_kgco2e,envelope_end_of_life_emissions_kgco2e,component_end_of_life_emissions_kgco2e,total_embodied_emissions_kgco2e,total_end_of_life_emissions_kgco2e,total_lca_emissions_kgco2e
27,100026,02098701,rue Victoria  (MTE+PAT) 12301 Ã  12307,1000,12.0,2022,17671.983704949835,262244.49686240265,279916.4805673525,49976.345356870734,5240.585544486681,55216.93090135742,279916.4805673525,55216.93090135742,335133.41146870994
28,100027,01058653,rue Clark  (MTL) 3589 Ã  3591,1000,22.0,1910,21959.979019286526,1439655.8497636255,1461615.828782912,78494.02664997592,29733.346576383163,108227.37322635908,1461615.828782912,108227.37322635908,1569843.2020092711
29,100028,02096771,rue Victoria  (MTE+PAT) 13171,1000,6.0,1956,8695.959561372872,764469.2597746371,773165.2193360099,27969.723089956256,16086.997013553104,44056.72010350936,773165.2193360099,44056.72010350936,817221.9394395193
30,100029,03044956,avenue De Chateaubriand  (MTL) 7281 Ã  7283,1000,11.0,1925,12380.962769024654,885907.1586211957,898288.1213902204,44254.66985604413,18414.572983804894,62669.24283984902,898288.1213902204,62669.24283984902,960957.3642300693
31,100030,02103638,boulevard Perras  (MTL) 10665,1000,13.0,2022,17532.458970513453,249672.3016465848,267204.76061709825,49581.769601797736,4965.669428479421,54547.43903027716,267204.76061709825,54547.43903027716,321752.1996473754
32,100031,04001425,rue Deslauriers  (PFD) 74,1000,15.0,2021,21512.96547911878,281770.9949076866,303283.96038680535,60838.6364759796,5544.636481835096,66383.2729578147,303283.96038680535,66383.2729578147,369667.23334462004
33,100032,04028414,rue Lauzon  (PFD) 43,1000,11.0,1955,4765.803299972502,308953.48994427803,313719.2932442505,15328.750974594714,6380.38483857122,21709.135813165933,313719.2932442505,21709.135813165933,335428.42905741645
34,100033,01036931,rue Mackay  (MTL) 1440 Ã  1448,1000,59.0,1965,154704.83665415304,10014071.772909319,10168776.609563472,497593.3261136788,206633.47613360643,704226.8022472853,10168776.609563472,704226.8022472853,10873003.411810758
35,100034,05057554,7e Avenue  (LCH) 465 Ã  467,1000,11.0,1920,14678.346396212157,1040183.2127827103,1054861.5591789226,52466.46693924248,21594.812020629284,74061.27895987176,1054861.5591789226,74061.27895987176,1128922.8381387943
36,100035,01045637,rue Saint-Jacques  (MTL) 4351 Ã  4383,1000,12.0,1882,10178.674704021718,709680.7528595257,719859.4275635475,36382.7835526263,14722.363461829429,51105.14701445573,719859.4275635475,51105.14701445573,770964.5745780033
37,100036,02083659,rue d' Amiens  (MTN) 4939 Ã  4941,1000,9.0,1963,11349.465326779879,829936.631535427,841286.0968622068,36504.47086014014,17272.985143108148,53777.45600324829,841286.0968622068,53777.45600324829,895063.5528654552
38,100037,01003506,rue Saint-Christophe  (MTL) 1744 Ã  1746,1000,26.0,1875,24478.32279787186,1565250.3176971055,1589728.6404949774,87495.62649196431,32267.045471467634,119762.67196343195,1589728.6404949774,119762.67196343195,1709491.3124584092
39,100038,02103800,3e Rue  (RDP) 9745,1000,9.0,1953,10071.045231405133,764195.7335643298,774266.778795735,32392.55476762534,15945.070835210496,48337.62560283583,774266.778795735,48337.62560283583,822604.4043985708
40,100039,05083866,avenue Lafleur  (LSL) 460 Ã  466,1000,9.0,1956,30101.80221106344,2662620.3885551044,2692722.190766168,96819.57079146727,56038.94360833777,152858.51439980505,2692722.190766168,152858.51439980505,2845580.705165973
41,100040,01047875,rue Notre-Dame Ouest  (MTL+MTO) 2461 Ã  2483,1000,14.0,1927,33847.26113027036,2809696.5222978406,2843543.783428111,120984.0781202374,58937.315612792925,179921.39373303033,2843543.783428111,179921.39373303033,3023465.1771611413
42,100041,03075658,rue du FrÃ¨re-AndrÃ©  (MTL) 3715 Ã  3719,1000,16.0,1930,30540.686044250826,2241106.3725447343,2271647.058588985,109165.0143272249,46643.484985526076,155808.49931275097,2271647.058588985,155808.49931275097,2427455.557901736
43,100042,03075656,rue du FrÃ¨re-AndrÃ©  (MTL) 3721 Ã  3725,1000,33.0,1930,63639.20521127196,4226914.027741458,4290553.23295273,227472.77970756294,87351.43251953021,314824.2122270932,4290553.23295273,314824.2122270932,4605377.445179823
44,100043,03075652,rue du FrÃ¨re-AndrÃ©  (MTL) 3737,1000,16.0,1929,29051.480685022198,2100492.764906384,2129544.2455914062,103841.97986294258,43672.3570259272,147514.3368888698,2129544.2455914062,147514.3368888698,2277058.582480276
45,100044,01091136,rue Notre-Dame Ouest  (MTL+MTO) 29 Ã  35,1000,21.0,1896,37359.17478276106,2640831.202403369,2678190.37718613,133537.10668137195,54817.17844966465,188354.2851310366,2678190.37718613,188354.2851310366,2866544.6623171666
46,100045,01058603,rue Clark  (MTL) 3524 Ã  3526,1000,16.0,1900,19683.670320624187,1321183.5475881714,1340867.2179087957,70357.56005775151,27341.244444512806,97698.80450226432,1340867.2179087957,97698.80450226432,1438566.02241106
47,100046,01036489,avenue du MusÃ©e  (MTL) 3443,1000,16.0,1925,15365.246606101804,1036882.2880883168,1052247.5346944185,54921.73173405846,21461.39035927407,76383.12209333254,1052247.5346944185,76383.12209333254,1128630.656787751
48,100047,01036493,avenue du MusÃ©e  (MTL) 3439,1000,12.0,1925,11529.395988838614,807228.1595194251,818757.5555082638,41210.81879045558,16752.219246312714,57963.038036768296,818757.5555082638,57963.038036768296,876720.5935450321
49,100048,01047233,rue Galt  (MTL+VRD) 22 Ã  24,1000,12.0,1904,17879.691671970104,1251651.8084412762,1269531.5001132463,63909.39596801908,25982.249396955955,89891.64536497503,1269531.5001132463,89891.64536497503,1359423.1454782214
50,100049,01041076,rue des Seigneurs  (MTL) 578,1000,10.0,1983,8079.83368316701,117985.88584396923,126065.71952713624,25988.013069302317,2317.332854872453,28305.34592417477,126065.71952713624,28305.34592417477,154371.065451311
51,100050,01041214,rue Workman  (MTL) 1889,1000,10.0,1983,8192.137671403761,119633.177903169,127825.31557457276,26349.22811759122,2347.702368707943,28696.930486299163,127825.31557457276,28696.930486299163,156522.24606087193
52,100051,01041068,rue des Seigneurs  (MTL) 614,1000,10.0,1983,7877.8561643475605,113267.01822461693,121144.87438896448,25338.371677584004,2220.1764341598227,27558.548111743825,121144.87438896448,27558.548111743825,148703.42250070832
53,100052,04079592,rue Saint-Georges  (SAB) 19 Ã  21,1000,19.0,1925,12088.510939350524,777895.8561120838,789984.3670514342,43209.326338542836,16043.290247075569,59252.61658561841,789984.3670514342,59252.61658561841,849236.9836370526
54,100053,03050049,rue SauvÃ© Est  (MTL) 730 Ã  734,1000,12.0,1959,12790.836312339627,916239.7142801464,929030.550592486,41140.502922096835,19038.59199961828,60179.094921715114,929030.550592486,60179.094921715114,989209.6455142011
55,100054,01039296,rue Belvedere Circle  (MTL) 57,1000,16.0,1927,19457.301278981296,1348268.7401013402,1367726.0413803216,69548.42369328409,27948.508881288944,97496.93257457303,1367726.0413803216,97496.93257457303,1465222.9739548946
56,100055,01040007,rue Saint-TimothÃ©e  (MTL) 1827,1000,10.0,1984,9339.62424900101,134983.849860306,144323.47410930702,30040.009059972886,2648.3132020038497,32688.322261976737,144323.47410930702,32688.322261976737,177011.79637128377
57,100056,05104792,boulevard Shaughnessy  (MTL) 3215,1000,12.0,1957,14112.962188157559,1030823.8971366844,1044936.859324842,45392.994481620066,21448.510168060468,66841.50464968053,1044936.859324842,66841.50464968053,1111778.3639745226
58,100057,05095233,rue Maurice-SÃ©guin  (MTL) 12329,1000,11.0,2006,17683.383849620535,337639.54705838935,355322.9309080099,56876.91462645284,6836.1783206283835,63713.092947081226,355322.9309080099,63713.092947081226,419036.0238550911
59,100058,02155407,3e Rue  (RDP) 9480,1000,11.0,1948,9706.375110871308,685415.3456144182,695121.7207252894,34694.589915512086,14228.35095817537,48922.940873687454,695121.7207252894,48922.940873687454,744044.6615989769
60,100059,01015625,rue Mazarin  (MTL) 6629,1000,10.0,1926,8795.130628207506,618446.0641593,627241.1947875074,31437.426115672544,12846.06372469876,44283.4898403713,627241.1947875074,44283.4898403713,671524.6846278787
61,100060,03043478,avenue de l' Esplanade  (MTL) 8633 Ã  8637,1000,8.0,1950,4078.6180595041515,278800.98128246487,282879.599341969,14578.663958495594,5774.027323063295,20352.691281558888,282879.599341969,20352.691281558888,303232.2906235279
62,100061,04068110,boulevard Pine Beach  (DVL) 290,1000,8.0,1926,5600.296143702304,386715.46499232034,392315.76113602263,20017.769341466712,7991.180802711524,28008.950144178234,392315.76113602263,28008.950144178234,420324.71128020086
63,100062,01035413,rue Ontario Est  (MTE+MTL) 1351,1000,12.0,2022,15494.022452786741,178050.41424021916,193544.4366930059,43817.07396270925,3438.600685765259,47255.67464847451,193544.4366930059,47255.67464847451,240800.1113414804
64,100063,05279934,rue Acres  (BCF) 180,1000,6.0,2021,4803.9023065348165,85230.5433820601,90034.44568859492,13585.429046361462,1734.294546731251,15319.723593092713,90034.44568859492,15319.723593092713,105354.16928168763
65,100064,03078194,rue Durocher  (MTL) 7929 Ã  7931,1000,9.0,1914,13153.283762408171,996234.711459231,1009387.9952216392,47015.26377936889,20787.416257013785,67802.68003638268,1009387.9952216392,67802.68003638268,1077190.6752580218
66,100065,05225321,avenue de l' HÃ´tel-de-Ville  (MTL) 1248,1000,21.0,2013,167919.53780951235,3409353.093336147,3577272.631145659,496032.0807583124,69923.79154360946,565955.872301922,3577272.631145659,565955.872301922,4143228.503447581
67,100066,02023079,10e Avenue  (MTL) 8273 Ã  8275,1000,9.0,1960,10531.039526869154,777277.1719930063,787808.2115198754,33872.082469690344,16189.579700851713,50061.662170542055,787808.2115198754,50061.662170542055,837869.8736904175
68,100067,01131670,rue De Champlain  (MTL) 1726,1000,12.0,1918,21032.088866648086,1559210.632334984,1580242.721201632,75177.36435692523,32487.277389405644,107664.64174633088,1580242.721201632,107664.64174633088,1687907.3629479627
69,100068,01094845,rue Beatty  (VRD) 458 Ã  460,1000,8.0,1927,11415.951022209232,874231.0922093302,885647.0432315394,40805.31966743313,18255.87692379594,59061.19659122906,885647.0432315394,59061.19659122906,944708.2398227685
70,100069,04076422,avenue Kirkwood  (BCF) 93,1000,16.0,2017,17022.133497236915,188384.88297481858,205407.0164720555,48138.56987262794,3620.985723602517,51759.55559623046,205407.0164720555,51759.55559623046,257166.57206828595
71,100070,01002352,rue du Souvenir  (MTL) 2180,1000,28.0,1900,36945.919537804446,2461760.3630599817,2498706.2825977863,132059.96190894855,50886.025256252884,182945.98716520143,2498706.2825977863,182945.98716520143,2681652.2697629877
72,100071,05282490,avenue Curotte  (MTL) 10582,1000,20.0,2020,25468.765325729608,230307.58183227814,255776.34715800776,72025.63294437864,4275.346908437299,76300.97985281594,255776.34715800776,76300.97985281594,332077.3270108237
73,100072,05057115,rue Saint-Antoine  (LCH) 1190,1000,14.0,1957,32036.83714273742,2466566.719665631,2498603.556808369,103043.42576990153,51520.337412462904,154563.76318236443,2498603.556808369,154563.76318236443,2653167.319990733
74,100073,01043518,rue de Rushbrooke  (VRD) 3006 Ã  3008,1000,14.0,1953,13742.136246850172,933080.8431112655,946822.9793581156,44200.26827127618,19312.12121224167,63512.38948351785,946822.9793581156,63512.38948351785,1010335.3688416334
75,100074,05011879,rue Dowd  (MTL) 395,1000,24.0,1910,75146.10177104443,5384107.891812891,5459253.993583935,268603.1762543007,111846.81712707653,380449.9933813772,5459253.993583935,380449.9933813772,5839703.986965313
76,100075,01003590,rue Simpson  (MTL) 3440,1000,18.0,1910,33747.589646718756,2284300.3384848563,2318047.928131575,120627.81110926844,47275.09230266197,167902.90341193043,2318047.928131575,167902.90341193043,2485950.8315435057
77,100076,04035741,boulevard DÃ©carie  (SLR) 675 Ã  677,1000,9.0,1912,12125.972105452533,933733.2451442562,945859.2172497087,43343.22800428522,19501.856181410778,62845.084185696,945859.2172497087,62845.084185696,1008704.3014354047
78,100077,04068466,place Kennedy  (DVL) 1555,1000,35.0,1957,27372.005287301003,1708196.0621294058,1735568.0674167068,88039.43979952922,35121.78760728655,123161.22740681577,1735568.0674167068,123161.22740681577,1858729.2948235227
79,100078,01036518,place De Richelieu  (MTL) 12,1000,12.0,1925,11076.509310490716,776827.9530156638,787904.4623261545,39592.014921451984,16117.718156389787,55709.73307784177,787904.4623261545,55709.73307784177,843614.1954039963
80,100079,01036505,place De Richelieu  (MTL) 5,1000,74.0,1925,70718.55288371265,4361483.47375849,4432202.026642202,252777.28953323117,89617.26565619383,342394.555189425,4432202.026642202,342394.555189425,4774596.5818316275
81,100080,01036499,place De Richelieu  (MTL) 2,1000,12.0,1925,11456.079105170733,807160.6480059267,818616.7271110974,40948.75399451632,16751.839240542646,57700.59323505897,818616.7271110974,57700.59323505897,876317.3203461564
82,100081,01036535,place De Richelieu  (MTL) 30,1000,14.0,1925,13640.636386442673,937489.4895892512,951130.1259756939,48757.263160393006,19429.78017698068,68187.04333737369,951130.1259756939,68187.04333737369,1019317.1693130676
83,100082,02063426,rue DÃ©zÃ©ry  (MTL) 1611 Ã  1615,1000,13.0,1930,17725.661280526198,1258255.2247289564,1275980.8860094827,63358.82778941173,26141.933574119466,89500.7613635312,1275980.8860094827,89500.7613635312,1365481.647373014
84,100083,02057709,rue De Forbin-Janson  (MTL) 8477 Ã  8481,1000,17.0,1961,17535.608008536452,1187291.9346459177,1204827.5426544542,56401.60775257235,24570.885859722774,80972.49361229513,1204827.5426544542,80972.49361229513,1285800.0362667493
85,100084,01035986,rue Sainte-Marguerite  (MTL) 533 Ã  535,1000,8.0,1910,8741.414851836686,639004.9736721383,647746.3885239749,31245.423765475753,13302.140852600023,44547.564618075776,647746.3885239749,44547.564618075776,692293.9531420507
86,100085,01013759,rue Hamilton  (MTL) 6332 Ã  6340,1000,15.0,1925,16229.558927141046,1131792.571450887,1148022.1303780281,58011.140622016545,23477.321462354717,81488.46208437126,1148022.1303780281,81488.46208437126,1229510.5924623995
87,100086,02082724,boulevard Gouin Est  (MTL+MTN) 4847,1000,11.0,2021,24857.0503181213,536821.1629948706,561678.2133129919,70295.70375303095,11096.812447433786,81392.51620046473,561678.2133129919,81392.51620046473,643070.7295134566
88,100087,03035566,avenue Grey  (MTL+WMT) 3793,1000,10.0,1923,10704.511822822906,770668.957758396,781373.4695812189,38262.34239830993,16025.728768467205,54288.07116677713,781373.4695812189,54288.07116677713,835661.5407479961
89,100088,01104616,rue Lucien-L'Allier  (MTL) 750,1000,13.0,1988,15693.294018128196,256241.4845304887,271934.7785486169,50475.98082287028,5102.538937698967,55578.51976056925,271934.7785486169,55578.51976056925,327513.2983091862
90,100089,03037265,boulevard DÃ©carie  (CSL+MTL+MTR) 6401 Ã  6407,1000,10.0,2022,18083.359134066042,399989.5003842675,418072.8595183335,51139.71449867704,8288.7326901449,59428.44718882194,418072.8595183335,59428.44718882194,477501.3067071554
91,100090,03019144,boulevard Saint-Laurent  (MTL) 10231 Ã  10233,1000,19.0,1958,68367.04112235099,5064964.467085432,5133331.508207783,219896.05576890704,105501.61132938412,325397.66709829116,5133331.508207783,325397.66709829116,5458729.175306074
92,100091,02014772,rue D'Iberville  (MTL) 7930 Ã  7932,1000,8.0,1969,9595.169799475128,733950.2204432883,743545.3902427634,30861.946907450998,15324.180385766129,46186.12729321713,743545.3902427634,46186.12729321713,789731.5175359806
93,100092,04057584,rue Closse  (IBZ) 480,1000,9.0,1977,6637.427717647397,467880.1359261976,474517.563643845,21348.652093189943,9710.587547124578,31059.23964031452,474517.563643845,31059.23964031452,505576.8032841595
94,100093,01032895,avenue Papineau  (MTL) 4039 Ã  4047,1000,13.0,1910,18887.36993087578,1334819.4172204232,1353706.787151299,67511.25387688483,27721.323685728974,95232.5775626138,1353706.787151299,95232.5775626138,1448939.3647139128
95,100094,01105238,avenue Papineau  (MTL) 4027,1000,15.0,1900,32091.938034814237,2271016.558129743,2303108.4961645575,114709.8290550155,47168.26615864961,161878.0952136651,2303108.4961645575,161878.0952136651,2464986.5913782227
96,100095,05055613,rue Notre-Dame  (LCH) 1140 Ã  1150,1000,10.0,1946,22674.367158145065,1995083.1437487742,2017757.5109069194,81047.54464563249,41998.87326221144,123046.41790784392,2017757.5109069194,123046.41790784392,2140803.928814763
97,100096,01006133,De Casson Road  (WMT) 1,1000,12.0,1927,12264.633725617181,865062.0401082566,877326.6738338738,43838.86185252222,17962.76634501784,61801.62819754006,877326.6738338738,61801.62819754006,939128.3020314139
98,100097,05204559,rue Rivard  (MTL) 5331,1000,13.0,2011,19231.168890716468,312018.4874702359,331249.65636095236,56808.61705978466,6267.484293664326,63076.10135344898,331249.65636095236,63076.10135344898,394325.75771440135
99,100098,05030127,avenue BourbonniÃ¨re  (MTL) 1511 Ã  1519,1000,11.0,1912,12305.54143497957,894503.2392170916,906808.7806520711,43985.082886069686,18611.569905350232,62596.65279141992,906808.7806520711,62596.65279141992,969405.433443491
100,100099,04075387,1re Nord Avenue  (ROX) 97,1000,12.0,2022,14863.065584700356,210576.53391007858,225439.59949477893,42032.72881667211,4186.156477134868,46218.885293806976,225439.59949477893,46218.885293806976,271658.4847885859
,TOTAL,,,,,,2084692.7114599778,119448211.73799355,121532904.44945356,6941461.125749442,2474564.064664852,9416025.190414298,121532904.44945356,9416025.190414298,130948929.63986783
